route_id,service_id,trip_id,trip_headsign
25,267,384,Berlin Ostbahnhof
25,291,419,Berlin Ostbahnhof
25,294,426,Berlin Ostbahnhof
25,306,445,Berlin Ostbahnhof
25,309,454,Berlin Ostbahnhof
25,323,483,Berlin Ostbahnhof
25,330,499,Berlin Ostbahnhof
25,341,520,Berlin Ostbahnhof
25,343,531,Berlin Hbf (tief)
25,353,545,Berlin Ostbahnhof
25,356,555,Berlin Ostbahnhof
25,368,572,Berlin Ostbahnhof
25,380,590,Berlin Hbf (tief)
25,386,596,Berlin Ostbahnhof
25,390,603,Berlin Ostbahnhof
25,257,606,Berlin Ostbahnhof
25,133,612,Berlin Ostbahnhof
25,396,620,Berlin Ostbahnhof
26,0,385,Berlin Ostbahnhof
26,271,393,Berlin Ostbahnhof
26,284,412,Berlin Ostbahnhof
26,291,420,Berlin Ostbahnhof
26,294,427,Berlin Ostbahnhof
26,306,446,Berlin Ostbahnhof
26,309,455,Berlin Ostbahnhof
26,323,484,Berlin Ostbahnhof
26,330,500,Berlin Ostbahnhof
26,341,521,Berlin Ostbahnhof
26,357,556,Berlin Ostbahnhof
26,359,559,Berlin Ostbahnhof
26,369,573,Berlin Ostbahnhof
26,387,597,Berlin Ostbahnhof
26,389,602,Berlin Ostbahnhof
26,391,604,Berlin Ostbahnhof
26,133,613,Berlin Ostbahnhof
28,0,387,Interlaken Ost
28,272,394,Interlaken Ost
28,278,400,Interlaken Ost
28,283,411,Interlaken Ost
28,286,414,Interlaken Ost
28,292,421,Interlaken Ost
28,304,443,Interlaken Ost
28,305,444,Interlaken Ost
28,207,461,Interlaken Ost
28,211,466,Interlaken Ost
28,320,477,Interlaken Ost
28,334,506,Interlaken Ost
28,341,523,Interlaken Ost
28,351,542,Interlaken Ost
28,352,544,Interlaken Ost
28,361,561,Interlaken Ost
28,371,575,Interlaken Ost
28,375,581,Interlaken Ost
28,377,584,Interlaken Ost
28,378,587,Interlaken Ost
28,382,592,Interlaken Ost
28,383,593,Interlaken Ost
28,388,598,Interlaken Ost
28,392,607,Interlaken Ost
28,330,10394,Spiez
30,0,389,Hamburg-Altona
30,273,395,Frankfurt(Main)Hbf
30,276,398,Hamburg-Altona
30,293,423,Frankfurt(Main)Hbf
30,295,428,Hamburg-Altona
30,193,437,Hamburg-Altona
30,60,442,Hamburg-Altona
30,223,487,Frankfurt(Main)Hbf
30,325,492,Hamburg Hbf
30,329,497,Hamburg-Altona
30,331,502,Frankfurt(Main)Hbf
30,332,504,Hamburg-Altona
30,342,524,Frankfurt(Main)Hbf
30,227,529,Hamburg-Altona
