route_id,route_short_name,route_long_name,route_type,agency_id
0,,ICE 1672,2,DB
1,,ICE 1579,2,DB
3,,ICE 1574,2,DB
4,,ICE 1572,2,DB
5,,ICE 1570,2,DB
6,,ICE 1571,2,DB
7,,ICE 1573,2,DB
8,,ICE 1674,2,DB
9,,ICE 1575,2,DB
10,,ICE 1578,2,DB
11,,ICE 1675,2,DB
12,,ICE 1677,2,DB
14,,ICE 1676,2,DB
15,,ICE 1673,2,DB
16,,ICE 1563,2,DB
17,,ICE 1565,2,DB
18,,ICE 1662,2,DB
19,,ICE 1569,2,DB
20,,ICE 1568,2,DB
21,,ICE 1663,2,DB
22,,ICE 1564,2,DB
23,,ICE 1562,2,DB
24,,ICE 1560,2,DB
35,,ICE 372,2,DB
36,,ICE 278,2,DB
38,,ICE 275,2,SBB
40,,ICE 376,2,DB
42,,ICE 371,2,SBB
43,,ICE 373,2,SBB
44,,ICE 396,2,DB
49,,ICE 827,2,DB
50,,ICE 521,2,DB
51,,ICE 1018,2,DB
52,,ICE 1125,2,DB
53,,ICE 214,2,DB
54,,ICE 621,2,DB
55,,ICE 16,2,DB
56,,ICE 625,2,DB
57,,ICE 1122,2,DB
58,,ICE 629,2,DB
59,,ICE 816,2,DB
60,,ICE 817,2,DB
61,,ICE 17,2,DB
62,,ICE 1124,2,DB
63,,ICE 812,2,DB
64,,ICE 911,2,DB
65,,ICE 620,2,DB
66,,ICE 821,2,DB
67,,ICE 810,2,DB
68,,ICE 605,2,DB
69,,ICE 524,2,DB
71,,ICE 522,2,DB
72,,ICE 523,2,DB
74,,ICE 712,2,DB
75,,ICE 711,2,DB
76,,ICE 811,2,DB
77,,ICE 1223,2,DB
78,,ICE 813,2,DB
79,,ICE 815,2,DB
80,,ICE 820,2,DB
81,,ICE 726,2,DB
82,,ICE 818,2,DB
83,,ICE 12,2,DB
84,,ICE 122,2,NS
85,,ICE 1127,2,DB
86,,ICE 814,2,DB
87,,ICE 819,2,DB
88,,ICE 1118,2,DB
89,,ICE 715,2,DB
90,,ICE 828,2,DB
91,,ICE 716,2,DB
92,,ICE 714,2,DB
93,,ICE 122,2,DB
94,,ICE 626,2,DB
95,,ICE 1518,2,DB
96,,ICE 418,2,DB
97,,ICE 731,2,DB
98,,ICE 733,2,DB
99,,ICE 1237,2,DB
100,,ICE 890,2,DB
101,,ICE 931,2,DB
102,,ICE 736,2,DB
103,,ICE 935,2,DB
104,,ICE 1132,2,DB
105,,ICE 939,2,DB
106,,ICE 936,2,DB
107,,ICE 930,2,DB
108,,ICE 1235,2,DB
109,,ICE 1134,2,DB
110,,ICE 891,2,DB
111,,ICE 754,2,DB
112,,ICE 158,2,NS
113,,ICE 152,2,NS
114,,ICE 9571,2,DB
116,,ICE 9573,2,DB
117,,ICE 9553,2,DB
119,,ICE 9563,2,DB
121,,ICE 9555,2,DB
123,,ICE 9557,2,DB
147,,ICE 9568,2,DB
149,,ICE 9574,2,DB
150,,ICE 9572,2,DB
155,,ICE 9566,2,DB
187,,ICE 529,2,DB
188,,ICE 1011,2,DB
189,,ICE 515,2,DB
190,,ICE 623,2,DB
191,,ICE 1013,2,DB
192,,ICE 728,2,DB
193,,ICE 627,2,DB
194,,ICE 914,2,DB
195,,ICE 724,2,DB
196,,ICE 721,2,DB
197,,ICE 1014,2,DB
198,,ICE 720,2,DB
199,,ICE 915,2,DB
200,,ICE 723,2,DB
201,,ICE 628,2,DB
202,,ICE 725,2,DB
203,,ICE 917,2,DB
204,,ICE 1228,2,DB
205,,ICE 727,2,DB
206,,ICE 624,2,DB
207,,ICE 1010,2,DB
208,,ICE 729,2,DB
209,,ICE 919,2,DB
210,,ICE 622,2,DB
211,,ICE 514,2,DB
212,,ICE 912,2,DB
213,,ICE 528,2,DB
214,,ICE 526,2,DB
215,,ICE 525,2,DB
216,,ICE 913,2,DB
217,,ICE 845,2,DB
218,,ICE 527,2,DB
219,,ICE 824,2,DB
220,,ICE 918,2,DB
221,,ICE 822,2,DB
222,,ICE 916,2,DB
226,,ICE 1521,2,DB
227,,ICE 859,2,DB
228,,ICE 559,2,DB
229,,ICE 651,2,DB
230,,ICE 557,2,DB
231,,ICE 1113,2,DB
236,,ICE 22,2,DB
238,,ICE 220,2,NS
239,,ICE 121,2,DB
240,,ICE 128,2,NS
241,,ICE 126,2,NS
242,,ICE 123,2,DB
244,,ICE 124,2,NS
245,,ICE 222,2,NS
246,,ICE 127,2,DB
247,,ICE 735,2,DB
248,,ICE 739,2,DB
249,,ICE 894,2,DB
250,,ICE 933,2,DB
251,,ICE 738,2,DB
252,,ICE 937,2,DB
253,,ICE 734,2,DB
254,,ICE 751,2,DB
255,,ICE 750,2,DB
256,,ICE 753,2,DB
257,,ICE 938,2,DB
258,,ICE 755,2,DB
323,,ICE 1285,2,ÖBB
324,,ICE 1280,2,DB
327,,ICE 1281,2,ÖBB
328,,ICE 1284,2,DB
363,,ICE 228,2,DB
364,,ICE 28,2,DB
365,,ICE 92,2,DB
366,,ICE 26,2,DB
367,,ICE 21,2,ÖBB
368,,ICE 90,2,DB
369,,ICE 23,2,ÖBB
370,,ICE 91,2,ÖBB
371,,ICE 20,2,DB
372,,ICE 27,2,ÖBB
373,,ICE 29,2,ÖBB
374,,ICE 229,2,ÖBB
377,,ICE 1226,2,DB
378,,ICE 1023,2,ÖBB
