trip_id,arrival_time,departure_time,stop_id,stop_sequence
0,07:02:00,07:02:00,8000191,0
0,07:07:00,07:09:00,8003184,1
0,07:21:00,07:22:00,8000055,2
0,07:34:00,07:35:00,8006421,3
0,07:44:00,07:46:00,8000156,4
0,07:59:00,08:00:00,8000377,5
0,08:08:00,08:09:00,8000031,6
0,08:22:00,08:24:00,8000068,7
0,08:40:00,08:51:00,8000105,8
0,09:15:00,09:17:00,8000111,9
0,09:33:00,09:34:00,8000124,10
0,09:49:00,09:50:00,8000337,11
0,10:03:00,10:05:00,8005661,12
0,10:16:00,10:17:00,8000129,13
0,10:54:00,10:56:00,8003200,14
0,11:15:00,11:17:00,8000128,15
0,11:56:00,11:59:00,8000152,16
0,12:17:00,12:18:00,8000064,17
0,12:40:00,12:42:00,8000168,18
0,12:57:00,12:59:00,8000238,19
0,13:16:00,13:18:00,8000147,20
0,13:29:00,13:43:00,8002549,21
0,14:35:00,14:37:00,8010324,22
0,15:08:00,15:10:00,8010066,23
0,15:32:00,15:38:00,8010304,24
0,15:58:00,16:00:00,8012763,25
0,16:14:00,16:16:00,8010355,26
0,16:29:00,16:31:00,8010338,27
10,07:02:00,07:02:00,8000191,0
10,07:07:00,07:09:00,8003184,1
10,07:21:00,07:22:00,8000055,2
10,07:34:00,07:35:00,8006421,3
10,07:44:00,07:46:00,8000156,4
10,07:59:00,08:00:00,8000377,5
10,08:08:00,08:09:00,8000031,6
10,08:22:00,08:24:00,8000068,7
10,08:40:00,08:51:00,8000105,8
10,09:15:00,09:17:00,8000111,9
10,09:33:00,09:34:00,8000124,10
10,09:49:00,09:50:00,8000337,11
10,10:03:00,10:05:00,8005661,12
10,10:16:00,10:17:00,8000129,13
10,10:54:00,10:56:00,8003200,14
10,11:15:00,11:17:00,8000128,15
10,11:56:00,11:59:00,8000152,16
10,12:17:00,12:18:00,8000064,17
10,12:40:00,12:42:00,8000168,18
10,12:57:00,12:59:00,8000238,19
10,13:16:00,13:18:00,8000147,20
10,13:53:00,13:55:00,8002554,21
10,14:37:00,14:39:00,8010324,22
10,15:07:00,15:10:00,8010066,23
10,15:32:00,15:38:00,8010304,24
10,15:58:00,16:00:00,8012763,25
10,16:14:00,16:16:00,8010355,26
10,16:29:00,16:31:00,8010338,27
27,07:02:00,07:02:00,8000191,0
27,07:07:00,07:09:00,8003184,1
27,07:21:00,07:22:00,8000055,2
27,07:34:00,07:35:00,8006421,3
27,07:44:00,07:46:00,8000156,4
27,07:59:00,08:00:00,8000377,5
27,08:08:00,08:09:00,8000031,6
27,08:22:00,08:24:00,8000068,7
27,08:40:00,08:51:00,8000105,8
27,09:15:00,09:17:00,8000111,9
27,09:33:00,09:34:00,8000124,10
27,09:49:00,09:50:00,8000337,11
27,10:03:00,10:05:00,8005661,12
27,10:16:00,10:17:00,8000129,13
27,10:54:00,10:56:00,8003200,14
27,11:15:00,11:17:00,8000128,15
27,11:56:00,11:59:00,8000152,16
27,12:17:00,12:18:00,8000064,17
27,12:40:00,12:42:00,8000168,18
27,12:57:00,12:59:00,8000238,19
27,13:16:00,13:18:00,8000147,20
27,13:29:00,13:43:00,8002549,21
27,14:36:00,14:38:00,8010324,22
27,15:07:00,15:09:00,8010066,23
27,15:32:00,15:38:00,8010304,24
27,15:58:00,16:00:00,8012763,25
27,16:14:00,16:16:00,8010355,26
27,16:29:00,16:29:00,8010338,27
30,07:02:00,07:02:00,8000191,0
30,07:07:00,07:09:00,8003184,1
30,07:21:00,07:22:00,8000055,2
30,07:34:00,07:35:00,8006421,3
30,07:44:00,07:46:00,8000156,4
30,07:59:00,08:00:00,8000377,5
30,08:08:00,08:09:00,8000031,6
30,08:22:00,08:24:00,8000068,7
30,08:40:00,08:51:00,8000105,8
30,09:15:00,09:17:00,8000111,9
30,09:33:00,09:34:00,8000124,10
30,09:49:00,09:50:00,8000337,11
30,10:03:00,10:05:00,8005661,12
30,10:16:00,10:17:00,8000129,13
30,10:54:00,10:56:00,8003200,14
30,11:15:00,11:17:00,8000128,15
30,11:56:00,11:59:00,8000152,16
30,12:17:00,12:18:00,8000064,17
30,12:40:00,12:42:00,8000168,18
30,12:57:00,12:59:00,8000238,19
30,13:16:00,13:18:00,8000147,20
30,13:29:00,13:43:00,8002554,21
30,14:35:00,14:37:00,8010324,22
30,15:08:00,15:10:00,8010066,23
30,15:32:00,15:38:00,8010304,24
30,15:58:00,16:00:00,8012763,25
30,16:14:00,16:16:00,8010355,26
30,16:29:00,16:31:00,8010338,27
64,07:02:00,07:02:00,8000191,0
64,07:07:00,07:09:00,8003184,1
64,07:21:00,07:22:00,8000055,2
64,07:34:00,07:35:00,8006421,3
64,07:44:00,07:46:00,8000156,4
64,07:59:00,08:00:00,8000377,5
64,08:08:00,08:09:00,8000031,6
64,08:22:00,08:24:00,8000068,7
64,08:40:00,08:51:00,8000105,8
64,09:15:00,09:17:00,8000111,9
64,09:33:00,09:34:00,8000124,10
64,09:49:00,09:50:00,8000337,11
64,10:03:00,10:05:00,8005661,12
64,10:16:00,10:17:00,8000129,13
64,10:54:00,10:56:00,8003200,14
76,07:06:00,07:06:00,8000191,0
76,07:59:00,08:00:00,8000377,1
76,08:08:00,08:09:00,8000031,2
76,08:22:00,08:24:00,8000068,3
76,08:40:00,08:51:00,8000105,4
76,09:15:00,09:17:00,8000111,5
76,09:33:00,09:34:00,8000124,6
76,09:49:00,09:50:00,8000337,7
76,10:03:00,10:05:00,8005661,8
76,10:16:00,10:17:00,8000129,9
76,10:54:00,10:54:00,8003200,10
85,07:44:00,07:46:00,8000156,4
85,07:59:00,08:00:00,8000377,5
85,08:08:00,08:09:00,8000031,6
85,08:22:00,08:24:00,8000068,7
85,08:40:00,08:51:00,8000105,8
85,09:15:00,09:17:00,8000111,9
